tag,format,split,theta,policy,global_auc,beat_precision,beat_recall,beat_far,beat_f1,alert_rate,event_precision,event_recall,event_f1,false_alarm_blocks,fp_per_record,fp_per_1000_beats,median_latency_beats
exp7c_float32,h5_float32,test,0.5,2-of-4,0.885715,0.273935,0.427963,0.138236,0.334049,0.169709,0.643875,0.371691,0.471309,625,27.173913,12.046335,0.0
exp7c_float32,h5_float32,test,0.5,3-of-5,0.885715,0.219546,0.224805,0.09739,0.222144,0.111231,0.48875,0.146478,0.225403,409,17.782609,7.883122,0.0
exp7c_float32,h5_float32,test,0.5,4-of-7,0.885715,0.218991,0.216466,0.094082,0.217721,0.107376,0.50937,0.132122,0.20982,288,12.521739,5.550951,0.0
exp7c_float32,h5_float32,test,0.5,5-of-5,0.885715,0.207786,0.081441,0.03784,0.117017,0.042577,0.296875,0.01144,0.022031,135,5.869565,2.602008,0.0
exp7c_float32,h5_float32,test,0.55,1-of-1,0.885715,0.441099,0.597942,0.09233,0.507683,0.147254,0.643006,0.620682,0.631647,1539,66.913043,29.662895,0.0
exp7c_float32,h5_float32,test,0.55,2-of-3,0.885715,0.230634,0.209191,0.085043,0.21939,0.098529,0.446927,0.139076,0.212138,594,25.826087,11.448837,0.0
exp7c_float32,h5_float32,test,0.55,2-of-4,0.885715,0.272984,0.343506,0.111488,0.304211,0.136692,0.639865,0.28533,0.394668,533,23.173913,10.273115,0.0
exp7c_float32,h5_float32,test,0.55,3-of-5,0.885715,0.215798,0.175479,0.077713,0.193561,0.088333,0.460245,0.097577,0.161017,353,15.347826,6.80377,0.0
exp7c_float32,h5_float32,test,0.55,4-of-7,0.885715,0.21228,0.165011,0.074621,0.185684,0.08444,0.470468,0.083221,0.141426,260,11.304348,5.011275,0.0
exp7c_float32,h5_float32,test,0.55,5-of-5,0.885715,0.202876,0.070085,0.033559,0.10418,0.037527,0.315789,0.006281,0.012317,91,3.956522,1.753946,0.0
exp7c_float32,h5_float32,test,0.6,1-of-1,0.885715,0.435496,0.508517,0.08033,0.469182,0.126843,0.62698,0.526021,0.57208,1413,61.434783,27.234354,0.0
exp7c_float32,h5_float32,test,0.6,2-of-3,0.885715,0.221103,0.163591,0.070232,0.188048,0.080373,0.418472,0.09511,0.154993,510,22.173913,9.829809,0.0
exp7c_float32,h5_float32,test,0.6,2-of-4,0.885715,0.263614,0.269695,0.091811,0.26662,0.111135,0.615126,0.20996,0.313062,458,19.913043,8.827554,0.0
exp7c_float32,h5_float32,test,0.6,3-of-5,0.885715,0.207258,0.136799,0.063766,0.164814,0.0717,0.399618,0.061687,0.106876,314,13.652174,6.052079,0.0
exp7c_float32,h5_float32,test,0.6,4-of-7,0.885715,0.205055,0.128105,0.060523,0.157694,0.067864,0.412869,0.050471,0.089947,219,9.521739,4.221036,0.0
exp7c_float32,h5_float32,test,0.6,5-of-5,0.885715,0.176843,0.054471,0.030899,0.083288,0.03346,0.35,0.004486,0.008859,65,2.826087,1.252819,2.5
exp7c_float32,h5_float32,test,0.65,1-of-1,0.885715,0.426096,0.427608,0.070188,0.426851,0.109015,0.613159,0.438762,0.511504,1270,55.217391,24.478153,0.0
exp7c_float32,h5_float32,test,0.65,2-of-3,0.885715,0.209125,0.126863,0.058469,0.157924,0.065898,0.376281,0.060341,0.104004,426,18.521739,8.210782,0.0
exp7c_float32,h5_float32,test,0.65,2-of-4,0.885715,0.244972,0.203158,0.076308,0.222114,0.090087,0.549947,0.138179,0.220863,428,18.608696,8.24933,0.0
exp7c_float32,h5_float32,test,0.65,3-of-5,0.885715,0.19888,0.107168,0.052609,0.139283,0.058536,0.342105,0.035442,0.06423,275,11.956522,5.300387,0.0
exp7c_float32,h5_float32,test,0.65,4-of-7,0.885715,0.200558,0.102023,0.04956,0.135246,0.055259,0.355556,0.026694,0.049659,174,7.565217,3.3537,0.0
exp7c_float32,h5_float32,test,0.65,5-of-5,0.885715,0.138511,0.03797,0.02878,0.059602,0.029779,0.453333,0.00314,0.006238,41,1.782609,0.79024,5.0
